Date,Close,Open,High,Low
2022-02-18,33.35,33.6,33.8,33.2
2022-02-17,33.9,33.6,34.25,33.45
2022-02-16,33.6,33.75,34.1,33.1
2022-02-15,33.5,33.1,33.9,32.7
2022-02-14,32.85,34.85,35.0,32.85
2022-02-11,35.3,34.75,35.35,34.45
2022-02-10,34.75,35.0,35.25,34.2
2022-02-09,35.05,36.0,36.7,35.0
2022-02-08,35.85,35.35,36.2,35.35
2022-02-07,35.6,36.0,36.3,35.45
2022-01-28,35.55,35.2,36.2,35.2
2022-01-27,35.4,35.3,35.95,34.75
2022-01-26,35.55,35.0,36.5,34.8
2022-01-25,34.7,33.1,34.8,33.0
2022-01-24,33.3,34.4,34.95,33.0
2022-01-21,34.6,33.6,35.25,33.35
2022-01-20,33.8,32.6,33.9,31.8
2022-01-19,32.9,34.3,34.4,32.7
2022-01-18,33.9,32.6,34.5,32.55
2022-01-17,32.6,35.5,35.6,32.6
2022-01-14,35.0,33.8,35.45,33.75
2022-01-13,34.3,35.4,36.2,34.3
2022-01-12,34.7,32.5,34.7,31.65
2022-01-11,32.45,31.8,33.3,31.7
2022-01-10,31.6,31.95,32.95,31.15
2022-01-07,31.95,32.7,32.95,31.95
2022-01-06,32.7,32.5,33.9,32.4
2022-01-05,32.55,31.9,32.8,31.7
2022-01-04,32.1,32.0,32.85,31.7
2021-12-31,31.5,30.7,32.3,30.5
2021-12-30,30.5,29.6,31.05,29.6
2021-12-29,29.5,30.5,30.8,29.5
2021-12-28,30.05,28.25,30.05,28.05
2021-12-27,28.1,28.45,28.45,27.85
2021-12-24,28.2,27.4,28.25,27.4
2021-12-23,27.4,27.6,27.8,26.9
2021-12-22,27.65,28.45,28.6,27.2
2021-12-21,28.2,28.65,28.8,28.2
2021-12-20,28.65,28.25,28.7,28.15
2021-12-17,28.3,28.65,28.7,28.0
2021-12-16,28.6,28.7,28.7,28.0
2021-12-15,28.35,28.1,28.9,27.7
2021-12-14,28.1,28.55,28.8,28.1
2021-12-13,28.65,28.6,29.0,28.35
2021-12-10,28.6,28.85,29.05,28.4
2021-12-09,28.85,28.5,28.9,28.4
2021-12-08,28.6,28.05,28.8,27.8
2021-12-07,28.05,27.3,28.1,26.9
2021-12-06,27.0,28.0,28.4,26.4
2021-12-03,28.0,29.4,29.55,28.0
2021-12-02,29.3,29.9,30.05,29.3
2021-12-01,29.9,28.8,29.9,28.75
2021-11-30,28.9,30.25,30.3,28.65
2021-11-29,29.9,30.1,30.6,29.8
2021-11-26,30.85,30.7,31.45,30.5
2021-11-25,30.65,31.0,31.25,30.35
2021-11-24,30.45,28.5,30.45,28.35
2021-11-23,28.5,28.95,28.95,28.3
2021-11-22,28.8,28.0,29.5,27.9
2021-11-19,27.9,27.7,28.45,27.0
